model_name,harness,Accuracy (%),ci_lower,ci_upper,Cost ($),Duration (s),N
gpt-5.5,mini-swe-agent,57.65,50.71,64.59,1.1207,586.66,159
gpt-5.4,mini-swe-agent,57.44,50.72,64.16,0.577,1128.75,159
gemini-3.5-flash,pi,55.56,48.43,62.68,1.4254,1739.29,159
claude-opus-4-8,claude-code,55.35,48.22,62.47,0.8776,489.16,159
gpt-5.5,openai-codex,53.67,46.62,60.72,3.1616,382.01,159
claude-opus-4-6,mini-swe-agent,52.83,45.72,59.94,0.8456,609.15,159
claude-opus-4-8,mini-swe-agent,52.62,45.49,59.75,1.1061,902.86,159
claude-opus-4-7,mini-swe-agent,52.41,45.28,59.54,0.9817,626.84,159
gemini-3.1-pro-preview,mini-swe-agent,51.57,44.63,58.52,0.9362,1061.63,159
claude-opus-4-7,claude-code,51.36,44.15,58.57,0.8023,532.85,159
gpt-5.2,mini-swe-agent,50.1,42.96,57.25,0.6024,931.76,159
gemini-3.5-flash,mini-swe-agent,48.85,42.14,55.56,2.7608,1145.4,159
grok-4.20-beta-0309-reasoning,mini-swe-agent,45.91,39.33,52.5,0.1679,342.63,159
claude-sonnet-4-6,mini-swe-agent,44.23,37.35,51.12,0.273,405.3,159
claude-opus-4-5,mini-swe-agent,42.77,36.12,49.42,0.4624,376.54,159
claude-sonnet-4-5,mini-swe-agent,41.51,34.92,48.1,0.2247,294.44,159
gpt-5.1,mini-swe-agent,39.83,33.36,46.31,0.1574,309.79,159
grok-4-1-fast-reasoning,mini-swe-agent,33.96,27.7,40.22,0.0164,357.0,159
grok-4,mini-swe-agent,31.87,26.25,37.48,0.4529,732.47,159
gemini-2.5-pro,mini-swe-agent,28.93,22.97,34.9,0.1086,231.07,159
