model_name,harness,Steps (mean),ci_lower,ci_upper,Cost ($),Duration (s)
gemini-2.5-pro,mini-swe-agent,9.32,8.54,10.1,0.1086,231.07
claude-sonnet-4-5,mini-swe-agent,11.19,10.61,11.77,0.2247,294.44
claude-opus-4-5,mini-swe-agent,13.78,12.83,14.73,0.4624,376.54
gpt-5.1,mini-swe-agent,13.8,12.92,14.68,0.1574,309.79
claude-sonnet-4-6,mini-swe-agent,16.42,15.13,17.7,0.273,405.3
claude-opus-4-6,mini-swe-agent,16.6,15.41,17.78,0.8456,609.15
gpt-5.5,mini-swe-agent,16.77,15.64,17.91,1.1207,586.66
claude-opus-4-7,claude-code,16.99,13.97,20.01,0.8023,532.85
grok-4.20-beta-0309-reasoning,mini-swe-agent,17.18,15.92,18.43,0.1679,342.63
grok-4-1-fast-reasoning,mini-swe-agent,19.6,3.91,35.29,0.0164,357.0
grok-4,mini-swe-agent,19.99,18.38,21.6,0.4529,732.47
claude-opus-4-7,mini-swe-agent,20.25,17.99,22.51,0.9817,626.84
gemini-3.1-pro-preview,mini-swe-agent,26.34,24.11,28.57,0.9362,1061.63
gpt-5.4,mini-swe-agent,26.37,24.58,28.16,0.577,1128.75
gpt-5.2,mini-swe-agent,30.77,28.2,33.33,0.6024,931.76
gpt-5.5,openai-codex,31.66,28.8,34.52,3.1616,382.01
